file_content,Size,file_tags,cat_ID,digest,collection,URI,file_format,Name
,529094,,69957,142af0a8c7988efa4c2b40dfb37f3b1d,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-17-l7buaf.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-17-l7buaf.dcm
,529094,,69957,600ad7d699807fe88d379b20cff62337,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-56-c0k2hj.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-56-c0k2hj.dcm
,529094,,69957,c1c2f23d3d0e84fe6d3d7d57e95253f7,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-25-x0615f.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-25-x0615f.dcm
,529094,,69957,7f87847c3d9043b7b8d95929300e69a0,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-32-1ph7wb4.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-32-1ph7wb4.dcm
,529094,,69957,a8d999f0794b2844cac18de5dff0f632,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-6-r6cd16.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-6-r6cd16.dcm
,529094,,69957,d8d8f3c0e80b872b542e76f460f14e7f,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-23-1srm77g.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-23-1srm77g.dcm
,529094,,69957,99062efb108db3492a71f6a2c009e3d0,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-28-9yl5xz.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-28-9yl5xz.dcm
,529094,,69957,993758528f9a0459381835f1d92306f8,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-47-10dvxjp.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-47-10dvxjp.dcm
,529090,,69957,acf97ae72fc3ba04fbf3e9c01cfb22fc,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-40-19uug1m.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-40-19uug1m.dcm
,529094,,69957,b5649e975e18e05dc8b0de04867be13e,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-51-1wmrhkm.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-51-1wmrhkm.dcm
